íTçıê[ìx,évçléûä‘,íTçıÉmÅ[Éhêî,íTçıë¨ìx,êÑíËCPUÉXÉRÉA
E3F5G6F3F4D3
4,0.00,10270,3423333.33,3.00,C6
4,0.00,9326,3108666.67,24.00,F6
6,0.08,238476,3137842.11,9.00,F2
6,0.07,208511,2895986.11,20.00,G3
8,1.43,4146841,2905985.28,15.00,F2
8,1.86,5481584,2945504.57,20.00,G3

C5C4E3F4D3C2
4,0.00,6699,3349500.00,21.00,C3
4,0.00,7930,3965000.00,20.00,C6
6,0.06,163210,2967454.55,17.00,G4
6,0.03,91493,3154931.03,26.00,H4
8,1.17,3536676,3012500.85,14.00,B4
8,1.41,4024471,2864392.17,22.00,A4

F4F5E6D3E3F2
4,0.01,16083,2680500.00,27.00,C6
4,0.00,12528,3132000.00,-1.00,C5
6,0.14,388876,2880562.96,30.00,C6
6,0.10,295397,2840355.77,2.00,C5
8,3.56,9800132,2753619.56,33.00,C6
8,2.10,5960114,2838149.52,-0.00,E7

F4F5G6G3C6C4
4,0.00,2292,2292000.00,35.00,D3
4,0.00,6519,3259500.00,2.00,E3
6,0.01,39189,2612600.00,29.00,F3
6,0.06,158839,2887981.82,-1.00,E3
8,0.29,851176,2905037.54,33.00,F3
8,1.19,3368968,2840613.83,-0.00,E3

C5C6C7E6D6B8
4,0.00,6245,3122500.00,62.00,F6
4,0.00,4770,4770000.00,-18.00,C4
6,0.04,126965,3022976.19,61.00,F6
6,0.03,90577,2921838.71,-11.00,C4
8,0.77,2222254,2874843.47,57.00,F3
8,0.83,2314331,2781647.84,-18.00,C4

C5E6F3C4E7G2B3B4D3D6F5G5B6F4G4E2
4,0.02,51720,2586000.00,66.00,D1
4,0.02,57317,3016684.21,-31.00,F8
6,0.64,1695922,2666544.03,74.00,A4
6,0.60,1683598,2792036.48,-40.00,E3
8,16.83,44898552,2668244.61,78.00,A4
8,14.07,39882878,2834201.11,-44.00,E3

F4D3C4B5D2D1C5D6B4F5E6A3E3G5A6F6
4,0.01,29798,2979800.00,20.00,C6
4,0.00,6692,3346000.00,22.00,A5
6,0.30,815997,2684200.66,20.00,C2
6,0.13,369079,2906133.86,23.00,A5
8,7.75,20889702,2695793.26,26.00,B6
8,2.04,6137597,3004208.03,18.00,A5

D6C4F3F4C3C6B6C2B4D3F5B7B2B5B8A6
4,0.00,4245,4245000.00,-90.00,E3
4,0.01,16674,3334800.00,144.00,G6
6,0.03,109455,3316818.18,-97.00,C1
6,0.16,420824,2697589.74,144.00,A8
8,1.02,3109404,3039495.60,-105.00,C1
8,6.34,17096117,2696123.17,154.00,B3

F4D3C6F5D2B7G6D1C2B2B1G5B3G4D6A2
4,0.00,5956,2978000.00,132.00,A8
4,0.00,9854,3284666.67,-105.00,C3
6,0.05,137822,2996130.43,145.00,A8
6,0.08,226490,2762073.17,-114.00,C4
8,0.91,2640716,2914697.57,153.00,A8
8,1.66,4695152,2825001.20,-119.00,C5

D6E6F5C6D3G5B7D2G6E3C2G7C5F4D1A8
4,0.01,22960,3280000.00,-11.00,H6
4,0.01,25236,3154500.00,45.00,G3
6,0.26,690685,2708568.63,6.00,H6
6,0.22,597316,2739981.65,32.00,H5
8,6.27,17292513,2758856.57,15.00,H6
8,4.30,12153635,2824456.19,24.00,C4

C5C4E3E6C6F4G3E2D2F6D3C2B3A2D6G4C1B6C3B2F5H2G5F3C7B5
4,0.02,58234,2531913.04,155.00,D1
4,0.01,43830,3371538.46,-125.00,D7
6,0.79,2076536,2635197.97,169.00,D1
6,0.42,1325224,3185634.62,-129.00,E1
8,28.77,76603887,2662260.62,178.00,D1
8,11.30,36146814,3197418.31,-143.00,E1

D6C4C3C6C5B4C7B7A7C2B6D7F3B8A3B5D3A5C8E2D1F6F5F4D8F2
4,0.00,12048,3012000.00,104.00,C1
4,0.00,9718,3239333.33,-50.00,B3
6,0.09,247018,2627851.06,108.00,C1
6,0.13,405407,3071265.15,-63.00,F1
8,1.63,4468253,2737900.12,118.00,A8
8,0.38,1244020,3299787.80,-87.00,E6

C5C6F4F3E3C4F2G1D2G4B5F6F1G2E6F7G3A5H2H1G7G6G5D3D6H3
4,0.01,32680,2970909.09,-91.00,B6
4,0.02,49509,2750500.00,138.00,E1
6,0.29,833305,2853784.25,-111.00,B6
6,0.50,1389134,2772722.55,160.00,E1
8,6.05,17805246,2940585.63,-128.00,A6
8,12.87,35369071,2748820.32,176.00,E1

E3D3C6D6C2F2E2F6E6F3F5D1F7D7C3B3C8G5B1D2C4D8H4G8G6B8
4,0.01,27497,2749700.00,40.00,A3
4,0.01,37604,2892615.38,13.00,H6
6,0.24,697400,2846530.61,38.00,C5
6,0.25,686995,2759016.06,14.00,B5
8,6.00,17366789,2894947.32,34.00,C5
8,5.23,15168531,2898630.04,14.00,B5

D6C4C3C2B3C5B4A4F3C6A3E6E7A5E3G2F4B5G3F7A6E8D1F6F8G4
4,0.01,46745,3116333.33,158.00,H1
4,0.01,23674,2959250.00,-107.00,G8
6,0.39,1056229,2736344.56,151.00,D8
6,0.27,772649,2904695.49,-119.00,D3
8,8.78,24550012,2796447.43,175.00,D8
8,5.07,15157506,2992597.43,-139.00,D2

C5E6F3C3D3E3F4G5B2B3A3F2G3H4F7A1C1D2C4B6D1B4F5E2E1B1F1D6C6C7A4F6G6G8A2G4
4,0.01,20793,2970428.57,2.00,A6
4,0.01,19693,3282166.67,32.00,E7
6,0.13,383365,2971821.71,14.00,H6
6,0.08,244809,2985475.61,13.00,G1
8,1.74,5101760,2935420.02,17.00,H6
8,1.34,4028379,3012998.50,8.00,B5

F4F5D6C5B6G3F6F3F2G4H2E6H5G6G5F1E2C6C7D7H6G2C8H4E3B8E7C3B2B5C4G7D8D1H1E8
4,0.01,14910,2982000.00,145.00,H8
4,0.00,12144,3036000.00,-73.00,B4
6,0.06,185306,2941365.08,151.00,H8
6,0.05,161085,2983055.56,-115.00,B4
8,0.75,2278336,3045903.74,186.00,H8
8,0.80,2328962,2896718.91,-170.00,B4

D6E6F7E7D7C7C5C3E3F6F5B6C4F8A7B4B2D8C6C2E8A1G8G4B8G7H7H8G5H4C1G6D3B7H5A6
4,0.00,5005,5005000.00,-65.00,A5
4,0.00,6160,3080000.00,109.00,A3
6,0.01,46231,3302214.29,-58.00,A8
6,0.04,110592,2988972.97,102.00,B3
8,0.09,282791,3326952.94,-75.00,A8
8,0.30,865186,2913084.18,109.00,H6

C5C6F4F5B7G3G6F6E6H7H2D7H6F3G5D3D2A8D6E7B6D1E8H3C7B4F2E3D8F1A7A6H4H5H8F7
4,0.00,3501,3501000.00,167.00,G7
4,0.00,1062,inf,-146.00,G4
6,0.02,44165,2597941.18,213.00,G7
6,0.00,9195,4597500.00,-221.00,G8
8,0.18,512273,2814686.81,326.00,E1
8,0.02,66023,3883705.88,-344.00,G4

E3D3C6D6C3F4E6C7D7E7G3B6D8F3A5C2F2C5C1G2F5G4B7C4F7F1B4A8B5B8H3E2A7G5E1B2
4,0.01,41233,2945214.29,35.00,A1
4,0.01,25335,2303181.82,22.00,A3
6,0.30,836873,2817754.21,29.00,A1
6,0.18,507242,2771814.21,12.00,A3
8,5.17,15025666,2904071.51,32.00,A1
8,2.34,6729390,2879499.36,8.00,F6

F4F3C5F5G4H3H4C6E6D7H2D3C7F6C8G3D6D8C4H5E2B5A6B7G5H1E7B4A3A4A5H6E8F1F2G6G7E1A8A7G2H8D2B6G8C2
4,0.00,4313,4313000.00,11.00,F7
4,0.00,1737,inf,69.00,E3
6,0.01,33007,3000636.36,38.00,E3
6,0.00,8690,4345000.00,33.00,F8
8,0.04,135188,3072454.55,38.00,E3
8,0.01,37415,4157222.22,29.00,F7

C5C6E3F3F4B5F2G1E2F5G2F1B7C7G4D2G6G5A5H4E1D3H5B6D1E6D7C8F6G3H2E8D8F7H3A6A8C1A7D6E7H1C3H7G7A4
4,0.00,1772,inf,-92.00,F8
4,0.00,1446,inf,129.00,H6
6,0.00,9671,4835500.00,-114.00,F8
6,0.00,8678,4339000.00,134.00,H6
8,0.01,48201,3707769.23,-121.00,F8
8,0.01,48976,3498285.71,188.00,C2

C5E6F4B5E7F3F2F7D6C6E3E2G7G8F6D7B7G3G2C4D1H1A4E1D8H8C3B4G4E8H2H3H4C1D3B6C7A8H7F8G5F5A6G6H6A5
4,0.00,791,inf,-393.00,C8
4,0.00,2819,inf,462.00,H5
6,0.00,5521,5521000.00,-419.00,C8
6,0.00,15983,3995750.00,478.00,H5
8,0.01,24371,4061833.33,-456.00,C8
8,0.03,83650,3098148.15,510.00,H5

F4D3C3F3F2G4E3E2G2H2D1D2G3H4E1B3F1C2H1F6B4G1E6B2D6C7G6G7F5C5G8C6E7H6B8F7F8A5C4E8H7C1A4H5A2A3
4,0.00,7076,3538000.00,188.00,A6
4,0.00,1485,inf,-109.00,H8
6,0.03,75513,2796777.78,139.00,A6
6,0.00,12525,4175000.00,-128.00,C8
8,0.26,783341,3071925.49,144.00,A1
8,0.02,80002,3333416.67,-132.00,G5

F4F3C5F5G2C4G5H6G3E6H5H2E3G6D6G1G7D2B4C7H7C6F2D3H4B6E2C2A7H3C1C3D7A6G4E1D1B1B2H8B8A5B7D8F6B5
4,0.00,7202,3601000.00,-161.00,F1
4,0.00,11314,3771333.33,191.00,A1
6,0.03,95315,2888333.33,-141.00,F1
6,0.05,163099,3198019.61,171.00,A1
8,0.26,818873,3161671.81,-132.00,F1
8,0.38,1195666,3179962.77,161.00,A1

